iter	Passed	Remaining
0	1	135
1	2	119
2	3	114
3	4	107
4	5	107
5	6	105
6	7	103
7	10	125
8	11	119
9	12	116
10	13	113
11	15	110
12	15	105
13	16	102
14	17	100
15	18	98
16	19	95
17	20	93
18	21	91
19	22	89
20	23	87
21	24	86
22	25	84
23	26	83
24	27	82
25	28	80
26	29	80
27	30	79
28	31	78
29	32	76
30	34	75
31	34	74
32	36	73
33	37	71
34	37	70
35	38	69
36	39	67
37	40	66
38	41	65
39	42	64
40	43	63
41	44	61
42	45	60
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	58	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
